tec,FR,BE,DE,CH,IT,ES,UK
offshore,0.0,1.548,9.629,0.0,0.0,0.0,6.09
onshore,14.551,1.8,55.973,0.045,11.15,21.545,10.47
pv,9.158,3.175,37.91,0.313,17.094,9.52,11.873
river,9.751,0.175,4.021,0.635,10.441,2.0,1.885
nuclear,63.13,5.99,9.524,3.392,0.0,7.122,9.006
coal_1G,2.997,0.47,8.0,0.0,3.0,8.183,7.56
coal_SA,0.0,0.0,15.0,0.0,1.851,1.5,0.0
lignite,0.0,0.0,21.205,0.0,0.0,0.0,0.0
gas_ccgt1G,3.161,0.76,3.0,0.0,21.0,9.0,5.906
gas_ccgt2G,3.5,1.2,3.0,0.0,9.0,10.0,11.645
gas_ccgtSA,4.5,3.0,11.0,0.0,10.555,7.25,13.917
gas_ocgtSA,1.03,1.686,7.285,0.0,5.766,1.632,3.115
oil_light,3.401,0.333,4.356,0.0,1.493,0.769,1.21
lake_phs,14.0,1.0,10.72,12.06,11.431,24.791,2.815
battery,0.0,0.0,0.0,0.0,0.0,0.0,0.0
