month,BE,CH,DE,ES,FR,IT,UK
201501,0.831804281,0.654342984,0.340644269,0.363636364,0.559830033,0.253941541,0.69964476
201502,0.843272171,0.524053452,0.403907458,0.35855206,0.725624099,0.340896811,0.651509769
201503,0.741590214,0.515478842,0.453727121,0.384017035,0.600121405,0.347918512,0.614564831
201504,0.643730887,0.505233853,0.398535407,0.282244047,0.387510433,0.345438441,0.562699822
201505,0.74235474,0.469265033,0.391221738,0.294455067,0.463919873,0.316740478,0.554174067
201506,0.613914373,0.559576837,0.39399469,0.260298974,0.437286592,0.279527901,0.448312611
201507,0.736238532,0.420219928,0.387730865,0.254258648,0.431747477,0.309920283,0.469626998
201508,0.725535168,0.408101436,0.505967138,0.236057274,0.405721223,0.410363153,0.473889876
201509,0.731651376,0.391382406,0.44832534,0.22744655,0.366188633,0.315854739,0.517939609
201510,0.762232416,0.617594255,0.566766052,0.248305232,0.430533424,0.338300266,0.645115453
201511,0.847859327,0.649685817,0.563276891,0.31010538,0.514378936,0.350310009,0.634458259
201512,0.850917431,0.664833932,0.512552608,0.258756084,0.572349951,0.365810452,0.464653641
201601,0.859327217,0.654342984,0.592957815,0.375856338,0.62495254,0.253941541,0.630905861
201602,0.850152905,0.524053452,0.49823823,0.368113827,0.688131217,0.340896811,0.653641208
201603,0.817278287,0.515478842,0.547983753,0.370424419,0.626850938,0.347918512,0.642273535
201604,0.809633028,0.505233853,0.504765587,0.377518343,0.478927785,0.345438441,0.661456483
201605,0.743883792,0.469265033,0.447318195,0.370586566,0.452046473,0.316740478,0.657193606
201606,0.735474006,0.559576837,0.515492806,0.314808059,0.483256132,0.279527901,0.563410302
201607,0.795107034,0.543986637,0.467755701,0.287364709,0.438226137,0.309920283,0.564831261
201608,0.369266055,0.512917595,0.513629245,0.2335725,0.397904169,0.410363153,0.661456483
201609,0.633027523,0.574832962,0.458940981,0.230694394,0.438150201,0.315854739,0.68348135
201610,0.706422018,0.575389755,0.536091808,0.247314443,0.527906447,0.338300266,0.760213144
201611,0.847094801,0.627728285,0.605395175,0.275082087,0.569367454,0.350310009,0.611012433
201612,0.71941896,0.666146993,0.566490163,0.264137176,0.587743944,0.365810452,0.757371226
201701,0.826452599,0.517077117,0.649451877,0.270175297,0.644437708,0.306104752,0.657904085
201702,0.794342508,0.426568398,0.505037017,0.273377898,0.506896029,0.37226847,0.682060391
201703,0.819571865,0.387111271,0.564235943,0.282858066,0.574946954,0.359001041,0.711900533
201704,0.676605505,0.383875607,0.545407191,0.243315292,0.456047287,0.414672216,0.558436945
201705,0.766055046,0.507460004,0.523734637,0.248364165,0.47188542,0.301212279,0.642984014
201706,0.823394495,0.481305051,0.512992355,0.196906051,0.474461958,0.332986472,0.620248668
201707,0.76146789,0.529840014,0.512097527,0.152395185,0.388754168,0.358307319,0.553463588
201708,0.793577982,0.556264605,0.508883916,0.158494224,0.344877236,0.388137357,0.597513321
201709,0.749235474,0.500449398,0.51740419,0.1845868,0.345028797,0.427766216,0.685612789
201710,0.709480122,0.540805321,0.552501694,0.196502141,0.49158836,0.388050642,0.64937833
201711,0.766819572,0.577745821,0.551064067,0.193351644,0.62223401,0.419268123,0.85044405
201712,0.844036697,0.582599317,0.533187966,0.207003797,0.589117915,0.339056538,0.702664298
201801,0.842507645,0.435286274,0.616422331,0.270851837,0.587439329,0.379045235,0.708348135
201802,0.846330275,0.543045254,0.607839351,0.29543803,0.699808795,0.447344895,0.829840142
201803,0.741590214,0.47595633,0.651339665,0.375741623,0.653551993,0.399338459,0.662166963
201804,0.831039755,0.374864572,0.661058843,0.392733145,0.393587292,0.451814768,0.660035524
201805,0.810397554,0.471872656,0.706493411,0.302180057,0.513384321,0.41480422,0.438365897
201806,0.629204893,0.516959747,0.595843792,0.303685507,0.459626416,0.382531736,0.547779751
201807,0.645259939,0.528710726,0.478422475,0.280016149,0.380938373,0.420525657,0.54920071
201808,0.529051988,0.541545129,0.673424406,0.245417844,0.369907339,0.512158055,0.528596803
201809,0.623853211,0.537378115,0.636971423,0.226443278,0.426312693,0.396030753,0.719715808
201810,0.814984709,0.518543212,0.642739911,0.242672588,0.511619356,0.420793849,0.610301954
201811,0.869266055,0.599383282,0.60238813,0.258901897,0.625239006,0.487050331,0.636589698
201812,0.747706422,0.595382949,0.710686064,0.295074687,0.624724224,0.429018416,0.731083481
201901,0.797400612,0.593532338,0.654724347,0.274056916,0.68034882,0.368296737,0.760213144
201902,0.814984709,0.463018242,0.599905084,0.275624218,0.616298301,0.392441606,0.661456483
201903,0.825688073,0.500331675,0.656833022,0.246224235,0.603367915,0.327355437,0.704085258
201904,0.885321101,0.488557214,0.735307836,0.224482473,0.457600361,0.343452016,0.631616341
201905,0.751529052,0.462437811,0.624740438,0.255259772,0.476244174,0.330417286,0.461811723
201906,0.721712538,0.493781095,0.643364039,0.158450446,0.383551346,0.434782609,0.576909414
201907,0.743883792,0.600248756,0.630270522,0.188461337,0.418884378,0.385618056,0.595381883
201908,0.510703364,0.544941957,0.59451959,0.18725122,0.360998346,0.416324031,0.514387211
201909,0.470183486,0.56384743,0.490974813,0.204152515,0.400841979,0.429183798,0.527175844
201910,0.855504587,0.515754561,0.533443563,0.208019039,0.488347617,0.425859505,0.680639432
201911,0.809633028,0.532089552,0.50391861,0.313258844,0.640129304,0.452541335,0.603197158
201912,0.818042813,0.546849088,0.555298624,0.345975959,0.68959555,0.41623655,0.694849023
202001,0.842507645,0.57172471,0.5673125,0.306240168,0.698767103,0.338203132,0.657904085
202002,0.787461774,0.561691542,0.625250466,0.344399177,0.728837769,0.315370484,0.659325044
202003,0.740825688,0.486401327,0.666215485,0.363236658,0.645466847,0.387192722,0.665719361
202004,0.794342508,0.441210614,0.799353778,0.337501513,0.66839573,0.354649637,0.662877442
202005,0.732415902,0.395688226,0.657084188,0.308700738,0.462712374,0.382556207,0.711190053
202006,0.668960245,0.474958541,0.588816465,0.270333185,0.480679597,0.298311609,0.493072824
202007,0.856269113,0.568076285,0.631927006,0.282515026,0.394000902,0.388504943,0.636589698
202008,0.707186544,0.530431177,0.671176073,0.271059255,0.364907533,0.508179512,0.595381883
202009,0.852446483,0.556218905,0.607522854,0.240651849,0.435122538,0.536523489,0.662166963
202010,0.689602446,0.544361526,0.587623717,0.257714493,0.520673583,0.452453854,0.712611012
202011,0.642201835,0.524709784,0.56522458,0.296283934,0.712524432,0.452716298,0.748845471
202012,0.777522936,0.540381426,0.522697994,0.335829132,0.734250489,0.478610795,0.684191829
202101,0.841743119,0.557379768,0.542181437,0.377798395,0.790632988,0.411512554,0.746714032
202102,0.844036697,0.490049751,0.544333022,0.383284256,0.690196963,0.451316595,0.748845471
202103,0.861620795,0.476036484,0.574670826,0.402363761,0.645767554,0.422185286,0.822024867
202104,0.76911315,0.405970149,0.709001866,0.34218063,0.470004511,0.429183798,0.7339254
202105,0.078746177,0.41119403,0.466432136,0.242991408,0.383025109,0.402939375,0.529307282
202106,0.078746177,0.442371476,0.501486124,0.227219555,0.417531198,0.443618231,0.581172291
202107,0.639908257,0.461028192,0.511314366,0.227179218,0.33701699,0.423410025,0.606749556
202108,0.721712538,0.497014925,0.475590135,0.215965471,0.324763194,0.412912256,0.458259325
202109,0.724770642,0.499585406,0.498497668,0.183736033,0.405578109,0.4131747,0.698401421
202110,0.74235474,0.460033167,0.553928638,0.176192973,0.546308826,0.357099116,0.743161634
202111,0.782110092,0.502404643,0.588726213,0.240046791,0.661028417,0.500656111,0.828419183
202112,0.788990826,0.501658375,0.535334538,0.269896333,0.629303864,0.490333304,0.841918295
